S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
CONTIG	NODE_2_length_4594_cov_752.860718	4642	unaligned
CONTIG	NODE_8_length_1095_cov_10.618265	1143	unaligned
CONTIG	NODE_9_length_987_cov_10.868288	1035	unaligned
CONTIG	NODE_11_length_511_cov_10.780822	559	unaligned
CONTIG	NODE_12_length_667_cov_12.281859	715	unaligned
CONTIG	NODE_14_length_714_cov_18.323530	762	unaligned
CONTIG	NODE_22_length_1366_cov_16.814056	1414	unaligned
CONTIG	NODE_23_length_948_cov_28.231012	996	unaligned
CONTIG	NODE_24_length_806_cov_12.848636	854	unaligned
CONTIG	NODE_33_length_803_cov_14.768369	851	unaligned
CONTIG	NODE_34_length_480_cov_17.329166	528	unaligned
CONTIG	NODE_36_length_1340_cov_11.105970	1388	unaligned
CONTIG	NODE_37_length_638_cov_9.979624	686	unaligned
CONTIG	NODE_38_length_843_cov_10.667853	891	unaligned
CONTIG	NODE_39_length_922_cov_11.554230	970	unaligned
CONTIG	NODE_43_length_698_cov_22.828081	746	unaligned
CONTIG	NODE_47_length_592_cov_20.993244	640	unaligned
CONTIG	NODE_49_length_6719_cov_12.507516	6767	unaligned
CONTIG	NODE_52_length_1465_cov_11.697611	1513	unaligned
CONTIG	NODE_53_length_812_cov_11.737685	860	unaligned
CONTIG	NODE_58_length_2472_cov_12.730582	2520	unaligned
CONTIG	NODE_59_length_1144_cov_11.306818	1192	unaligned
CONTIG	NODE_62_length_1205_cov_16.149378	1253	unaligned
CONTIG	NODE_63_length_879_cov_17.021616	927	unaligned
CONTIG	NODE_69_length_571_cov_14.919439	619	unaligned
CONTIG	NODE_70_length_1319_cov_61.884762	1367	unaligned
CONTIG	NODE_73_length_3528_cov_15.465420	3576	unaligned
CONTIG	NODE_75_length_2871_cov_12.283176	2919	unaligned
CONTIG	NODE_76_length_1762_cov_11.885358	1810	unaligned
CONTIG	NODE_80_length_1053_cov_11.352326	1101	unaligned
CONTIG	NODE_82_length_527_cov_11.166983	575	unaligned
CONTIG	NODE_88_length_11309_cov_13.269431	11357	unaligned
CONTIG	NODE_90_length_1045_cov_75.822968	1093	unaligned
CONTIG	NODE_96_length_1068_cov_9.637640	1116	unaligned
CONTIG	NODE_101_length_670_cov_9.982090	718	unaligned
CONTIG	NODE_106_length_460_cov_11.336957	508	unaligned
CONTIG	NODE_110_length_1340_cov_19.673882	1388	unaligned
CONTIG	NODE_127_length_2353_cov_9.776456	2401	unaligned
CONTIG	NODE_140_length_708_cov_10.658192	756	unaligned
CONTIG	NODE_147_length_6401_cov_10.739572	6449	unaligned
CONTIG	NODE_149_length_788_cov_17.775381	836	unaligned
CONTIG	NODE_150_length_561_cov_9.454545	609	unaligned
CONTIG	NODE_152_length_633_cov_21.225908	681	unaligned
CONTIG	NODE_154_length_519_cov_12.936417	567	unaligned
CONTIG	NODE_157_length_679_cov_9.905744	727	unaligned
CONTIG	NODE_165_length_534_cov_23.147940	582	unaligned
CONTIG	NODE_167_length_785_cov_14.703185	833	unaligned
CONTIG	NODE_175_length_1620_cov_9.296296	1668	unaligned
CONTIG	NODE_183_length_485_cov_20.503094	533	unaligned
CONTIG	NODE_195_length_4988_cov_11.825782	5036	unaligned
CONTIG	NODE_198_length_6073_cov_14.791207	6121	unaligned
